"nome_pais";"diferenca_mortalidade";"diferenca_bcg";"percentual_aumento_bcg";"diferenca_hepb3";"percentual_aumento_hepb3";"diferenca_hib3";"percentual_aumento_hib3";"diferenca_ipv1";"percentual_aumento_ipv1";"diferenca_mcv1";"percentual_aumento_mcv1";"diferenca_pcv3";"percentual_aumento_pcv3";"diferenca_pol3";"percentual_aumento_pol3";"diferenca_rcv1";"percentual_aumento_rcv1";"diferenca_rotac";"percentual_aumento_rotac";"diferenca_yfv";"percentual_aumento_yfv";"diferenca_dtp3";"percentual_aumento_dtp3"
"Malawi";"213.20";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.41";"83.67";NULL;NULL;"0.65";"232.14";NULL;NULL;NULL;NULL;NULL;NULL;"0.36";"62.07"
"Ethiopia";"191.10";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.56";"1400.00";NULL;NULL;"0.71";"2366.67";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Afghanistan";"184.40";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.55";"500.00";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.66";"1650.00"
"Gambia. The";"180.90";"0.00";"0.00";NULL;NULL;NULL;NULL;NULL;NULL;"0.13";"18.84";NULL;NULL;"0.36";"67.92";NULL;NULL;NULL;NULL;NULL;NULL;"0.22";"34.92"
"Nepal";"177.70";"0.70";"318.18";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.76";"950.00"
"Bhutan";"170.00";"0.55";"127.91";NULL;NULL;NULL;NULL;NULL;NULL;"0.72";"342.86";NULL;NULL;"0.92";"2300.00";NULL;NULL;NULL;NULL;NULL;NULL;"0.89";"1483.33"
"Yemen. Rep.";"165.00";"0.62";"688.89";NULL;NULL;NULL;NULL;NULL;NULL;"0.66";"3300.00";NULL;NULL;"0.65";"6500.00";NULL;NULL;NULL;NULL;NULL;NULL;"0.71";"7100.00"
"Egypt. Arab Rep.";"148.90";"0.46";"92.00";NULL;NULL;NULL;NULL;NULL;NULL;"0.53";"129.27";NULL;NULL;"0.28";"41.79";NULL;NULL;NULL;NULL;NULL;NULL;"0.37";"64.91"
"Mongolia";"147.80";"0.48";"94.12";NULL;NULL;NULL;NULL;NULL;NULL;"0.80";"470.59";NULL;NULL;"0.11";"12.79";NULL;NULL;NULL;NULL;NULL;NULL;"0.20";"26.32"
"Maldives";"144.10";"0.92";"1314.29";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.95";"2375.00";NULL;NULL;NULL;NULL;NULL;NULL;"0.95";"2375.00"
