"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Malawi";"256.4";NULL;NULL;NULL;NULL;"0.49";NULL;"0.28";NULL;NULL;NULL;"0.58"
"Afghanistan";"246";NULL;NULL;NULL;NULL;"0.11";NULL;NULL;NULL;NULL;NULL;"0.04"
"Ethiopia";"241";NULL;NULL;NULL;NULL;"0.04";NULL;"0.03";NULL;NULL;NULL;NULL
"Gambia. The";"229.8";"0.85";NULL;NULL;NULL;"0.69";NULL;"0.53";NULL;NULL;NULL;"0.63"
"Congo. Dem. Rep.";"212.8";"0.57";NULL;NULL;NULL;"0.18";NULL;"0.15";NULL;NULL;NULL;NULL
"Yemen. Rep.";"208.5";"0.09";NULL;NULL;NULL;"0.02";NULL;"0.01";NULL;NULL;NULL;"0.01"
"Nepal";"207.5";"0.22";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.08"
"Bhutan";"195.4";"0.43";NULL;NULL;NULL;"0.21";NULL;"0.04";NULL;NULL;NULL;"0.06"
"Haiti";"190.5";NULL;NULL;NULL;NULL;NULL;NULL;"0.08";NULL;NULL;NULL;"0.03"
"Central African Republic";"188.1";"0.17";NULL;NULL;NULL;"0.12";NULL;"0.13";NULL;NULL;NULL;"0.13"
"Tanzania";"178.8";"0.72";NULL;NULL;NULL;"0.46";NULL;"0.57";NULL;NULL;NULL;"0.59"
"Madagascar";"171.3";"0.21";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"India";"169.1";NULL;NULL;NULL;NULL;NULL;NULL;"0.02";NULL;NULL;NULL;"0.06"
"Bolivia";"168.9";"0.3";NULL;NULL;NULL;"0.13";NULL;"0.14";NULL;NULL;NULL;"0.11"
"Egypt. Arab Rep.";"168.3";"0.5";NULL;NULL;NULL;"0.41";NULL;"0.67";NULL;NULL;NULL;"0.57"
"Ghana";"167.2";NULL;NULL;NULL;NULL;"0.16";NULL;"0.07";NULL;NULL;NULL;"0.07"
"Pakistan";"165";"0.06";NULL;NULL;NULL;"0.01";NULL;"0.02";NULL;NULL;NULL;"0.02"
"Mongolia";"162.5";"0.51";NULL;NULL;NULL;"0.17";NULL;"0.86";NULL;NULL;NULL;"0.76"
"Maldives";"150.5";"0.07";NULL;NULL;NULL;NULL;NULL;"0.04";NULL;NULL;NULL;"0.04"
"Sudan";"147.1";"0.02";NULL;NULL;NULL;NULL;NULL;"0.01";NULL;NULL;NULL;"0.01"
"Myanmar";"140";"0.09";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.04"
"Turkiye";"127.8";NULL;NULL;NULL;NULL;"0.27";NULL;"0.63";NULL;NULL;NULL;"0.42"
"Peru";"126.6";"0.57";NULL;NULL;NULL;"0.23";NULL;"0.16";NULL;NULL;NULL;"0.16"
"El Salvador";"125.1";"0.56";NULL;NULL;NULL;"0.45";NULL;"0.42";NULL;NULL;NULL;"0.44"
"Lesotho";"123.6";"0.81";NULL;NULL;NULL;"0.49";NULL;"0.56";NULL;NULL;NULL;"0.56"
"Guatemala";"122.1";"0.36";NULL;NULL;NULL;"0.23";NULL;"0.43";NULL;NULL;NULL;"0.43"
"Indonesia";"120.7";"0.61";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Kiribati";"118.8";"0.66";NULL;NULL;NULL;NULL;NULL;"0.1";NULL;NULL;NULL;"0.43"
