"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Niger";"228.4";"0.5";NULL;NULL;NULL;"0.37";NULL;"0.41";NULL;NULL;"0.1";"0.34"
"Sierra Leone";"225.3";"0.74";NULL;NULL;NULL;"0.37";NULL;"0.46";NULL;NULL;NULL;"0.44"
"Angola";"202.9";"0.53";NULL;NULL;NULL;"0.32";NULL;"0.21";NULL;NULL;"0.29";"0.31"
"Liberia";"189.3";"0.78";NULL;NULL;NULL;"0.63";NULL;"0.56";NULL;NULL;NULL;"0.46"
"Mali";"187.6";"0.69";NULL;NULL;NULL;"0.49";NULL;"0.53";NULL;NULL;"0.11";"0.43"
"Rwanda";"185";"0.81";NULL;NULL;NULL;"0.74";NULL;"0.9";NULL;NULL;NULL;"0.9"
"Chad";"184.1";"0.49";NULL;NULL;NULL;"0.28";NULL;"0.3";NULL;NULL;"0.28";"0.36"
"Nigeria";"182.5";"0.44";NULL;NULL;NULL;"0.33";NULL;"0.31";NULL;NULL;NULL;"0.29"
"Burkina Faso";"178";"0.81";NULL;NULL;NULL;"0.48";NULL;"0.45";NULL;NULL;"0.4";"0.45"
"Guinea-Bissau";"173.5";"0.77";NULL;NULL;NULL;"0.71";NULL;"0.52";NULL;NULL;NULL;"0.49"
"Malawi";"173.4";"0.83";NULL;NULL;NULL;"0.73";NULL;"0.73";NULL;NULL;NULL;"0.75"
"Mozambique";"172";"0.84";NULL;NULL;NULL;"0.71";NULL;"0.69";NULL;NULL;NULL;"0.7"
"Somalia";"171.9";"0.69";NULL;NULL;NULL;"0.24";NULL;"0.37";NULL;NULL;NULL;"0.33"
"Guinea";"165.6";"0.81";NULL;NULL;NULL;"0.42";NULL;"0.47";NULL;NULL;NULL;"0.46"
"Central African Republic";"165.2";"0.66";NULL;NULL;NULL;"0.36";NULL;"0.38";NULL;NULL;"0.36";"0.37"
"Congo. Dem. Rep.";"158.9";"0.57";NULL;NULL;NULL;"0.46";NULL;"0.42";NULL;NULL;NULL;"0.4"
